,Microphone
1174,-15468
1175,-15372
1176,-15876
1177,-16052
1178,-15980
1179,-16052
1180,-16444
1181,-17244
1182,-17004
1183,-16660
1184,-16092
1185,-16340
1186,-16324
1187,-15884
1188,-15764
1189,-15492
1190,-14860
1191,-15484
1192,-15340
1193,-15036
1194,-14564
1195,-14164
1196,-14532
1197,-15844
1198,-16396
1199,-17012
1200,-16388
1201,-16076
1202,-15940
1203,-16164
1204,-16572
1205,-17004
1206,-16796
1207,-17540
1208,-16620
1209,-16228
1210,-16644
1211,-16004
1212,-16324
1213,-16660
1214,-16468
1215,-16492
1216,-15820
1217,-15900
1218,-15348
1219,-15012
1220,-15004
1221,-15012
1222,-14916
1223,-15372
1224,-15324
1225,-15420
1226,-15684
1227,-15620
1228,-15764
1229,-15884
1230,-16556
1231,-16756
1232,-16228
1233,-15916
1234,-15684
1235,-15724
1236,-15244
1237,-15036
1238,-15244
1239,-14492
1240,-14372
1241,-14724
1242,-14996
1243,-14692
1244,-14604
1245,-14708
1246,-14940
1247,-14740
1248,-14292
1249,-14316
1250,-14204
1251,-14540
1252,-14932
1253,-15036
1254,-14356
1255,-13956
1256,-14076
1257,-15148
1258,-15324
1259,-15500
1260,-15388
1261,-14740
1262,-14668
1263,-14700
1264,-14508
1265,-14260
1266,-14044
1267,-14412
1268,-14444
1269,-14196
1270,-14036
1271,-14028
1272,-13900
1273,-14116
1274,-14492
1275,-13748
1276,-13716
1277,-13612
1278,-13028
1279,-13068
1280,-13740
1281,-13220
1282,-13356
1283,-13300
1284,-13548
1285,-13524
1286,-13964
1287,-14228
1288,-14644
1289,-14668
1290,-14364
1291,-14524
1292,-14796
1293,-15052
1294,-14908
1295,-14596
1296,-14340
1297,-14244
1298,-14060
1299,-14508
1300,-14332
1301,-14420
1302,-13748
1303,-13652
1304,-13508
1305,-13316
1306,-13860
1307,-14468
1308,-14268
1309,-13940
1310,-13580
1311,-13132
1312,-13292
1313,-14268
1314,-15036
1315,-14804
1316,-15004
1317,-15316
1318,-15612
1319,-16060
1320,-15828
1321,-15596
1322,-15772
1323,-15372
1324,-14996
1325,-15412
1326,-15060
1327,-14860
1328,-15580
1329,-15764
1330,-15572
1331,-14604
1332,-14700
1333,-14964
1334,-15292
1335,-15596
1336,-15292
1337,-14916
1338,-15092
1339,-15324
1340,-15452
1341,-15732
1342,-16236
1343,-15628
1344,-15196
1345,-15844
1346,-16460
1347,-16668
1348,-16684
1349,-16580
1350,-16268
1351,-16340
1352,-16468
1353,-16652
1354,-16492
1355,-16788
1356,-16644
1357,-16948
1358,-17076
1359,-16692
1360,-15860
1361,-15796
1362,-16492
1363,-16268
1364,-16308
1365,-16668
1366,-16452
1367,-16052
1368,-16612
1369,-16348
