,Timestamps,Temperature,Humidity,Pressure,Distance,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magnox,Magnoy,Magnoz
84,2022-01-11 01:30:06.894327,26.4,59.1,997.0,124.0,1.88,0.34,3.66,4.41,-2.38,4.76,-288.75,11.0,-382.13
85,2022-01-11 01:30:06.956830,26.4,59.1,997.0,125.0,1.88,0.34,3.66,4.34,-2.31,4.83,-294.75,12.0,-392.88
86,2022-01-11 01:30:07.019326,26.4,58.9,997.0,124.0,1.88,0.34,3.66,4.34,-2.31,4.83,-285.0,9.0,-375.38
87,2022-01-11 01:30:07.097459,26.4,58.9,997.0,121.0,1.88,0.34,3.66,4.27,-2.31,4.76,-278.0,13.0,-398.75
88,2022-01-11 01:30:07.144332,26.4,58.7,997.0,122.0,1.88,0.34,3.65,4.34,-2.31,4.9,-283.75,13.5,-399.0
89,2022-01-11 01:30:07.206823,26.4,58.7,997.0,121.0,1.88,0.34,3.66,4.27,-2.38,4.76,-281.25,9.0,-393.38
90,2022-01-11 01:30:07.269328,26.4,58.7,997.0,122.0,1.88,0.34,3.66,4.27,-2.38,4.76,-291.75,10.0,-379.88
91,2022-01-11 01:30:07.300579,26.4,58.7,997.0,121.0,1.88,0.33,3.66,4.27,-2.38,4.76,-284.0,14.5,-390.75
92,2022-01-11 01:30:07.363085,26.4,58.7,997.0,122.0,1.88,0.34,3.66,4.41,-2.59,4.69,-288.0,16.5,-393.38
93,2022-01-11 01:30:07.425588,26.4,58.6,997.0,126.0,1.88,0.34,3.66,3.99,-2.59,4.76,-279.5,8.25,-395.0
94,2022-01-11 01:30:07.488091,26.4,58.6,997.0,121.0,1.88,0.34,3.66,3.99,-2.59,4.76,-285.5,11.25,-397.75
95,2022-01-11 01:30:07.550613,26.4,58.5,997.0,122.0,1.88,0.34,3.67,4.41,-3.01,4.55,-278.75,16.0,-380.25
96,2022-01-11 01:30:07.613112,26.4,58.5,997.0,123.0,1.88,0.34,3.67,4.48,-3.08,4.48,-283.25,10.75,-403.75
97,2022-01-11 01:30:07.675604,26.4,58.5,997.0,125.0,1.88,0.34,3.67,4.55,-2.87,4.55,-293.25,9.25,-375.25
